,000001,000002,000063,000069,000100,000157,000166,000301,000333,000338,000408,000425,000538,000568,000596,000617,000625,000651,000661,000708,000725,000733,000768,000776,000786,000792,000800,000858,000876,000877,000895,000938,000963,000977,000983,000999,001289,001979,002001,002007,002027,002049,002050,002074,002129,002142,002179,002180,002202,002230,002236,002241,002252,002271,002304,002311,002352,002371,002410,002415,002459,002460,002466,002475,002493,002555,002594,002601,002603,002648,002709,002714,002736,002812,002821,002841,002916,002920,002938,003816,300014,300015,300033,300059,300122,300124,300142,300223,300274,300308,300316,300347,300408,300413,300433,300450,300454,300496,300498,300628,300661,300750,300751,300759,300760,300763,300782,300896,300919,300957,300979,300999,301269,600000,600009,600010,600011,600015,600016,600018,600019,600023,600025,600028,600029,600030,600031,600036,600039,600048,600050,600061,600085,600089,600104,600111,600115,600132,600150,600176,600183,600188,600196,600219,600233,600276,600309,600332,600346,600362,600372,600406,600426,600436,600438,600460,600489,600515,600519,600547,600570,600584,600585,600588,600600,600606,600660,600674,600690,600732,600741,600745,600754,600760,600795,600803,600809,600837,600845,600875,600886,600887,600893,600900,600905,600918,600919,600926,600938,600941,600958,600989,600999,601006,601009,601012,601021,601059,601066,601088,601100,601111,601117,601138,601155,601166,601169,601186,601211,601225,601229,601236,601238,601288,601318,601319,601328,601336,601360,601377,601390,601398,601600,601601,601607,601615,601618,601628,601633,601658,601668,601669,601688,601689,601698,601699,601728,601766,601788,601799,601800,601808,601816,601818,601838,601857,601865,601868,601872,601877,601878,601881,601888,601898,601899,601901,601916,601919,601939,601985,601988,601989,601995,601998,603019,603195,603259,603260,603288,603290,603369,603392,603486,603501,603659,603799,603806,603833,603899,603986,603993,605117,605499,688008,688012,688036,688041,688065,688111,688126,688187,688223,688256,688271,688303,688363,688396,688561,688599,688981
000338,2,1,3,0,0,5,1,0,24,0,0,9,1,1,0,0,20,5,0,0,0,0,0,4,0,0,20,2,1,0,0,3,0,3,0,0,1,1,0,0,3,1,22,3,1,6,0,0,0,5,4,10,2,1,1,0,6,2,0,7,2,6,2,8,3,0,71,0,0,2,1,0,1,0,0,0,0,31,6,3,3,1,3,2,0,5,0,0,9,16,0,0,6,0,4,0,0,0,2,0,0,21,0,2,4,0,1,0,0,0,2,1,0,4,0,0,0,4,5,0,0,0,0,2,5,5,19,4,0,0,4,1,2,6,36,3,1,0,2,0,1,6,0,10,0,4,9,1,0,1,0,1,3,1,0,0,1,0,6,5,0,1,2,0,5,0,27,0,8,0,8,0,0,2,0,1,0,1,0,1,2,0,1,1,0,9,1,1,2,4,3,3,1,3,0,7,2,4,1,1,4,2,1,5,0,1,0,0,7,0,0,0,28,4,5,0,0,3,1,1,1,7,8,0,0,0,0,4,36,7,4,0,5,31,0,0,3,1,1,19,0,1,6,0,0,5,1,0,1,5,2,3,1,3,14,1,4,3,3,1,3,1,12,1,4,2,4,0,2,0,1,0,0,0,0,0,0,0,0,6,2,2,0,5,3,2,7,0,2,0,4,2,10,1,0,0,3,0,2,7
000408,1,1,3,0,1,0,9,0,2,0,0,1,1,5,0,0,3,2,1,3,0,0,0,10,1,73,0,1,0,0,3,0,3,0,7,1,0,0,1,2,0,0,2,6,2,1,1,0,0,0,0,1,2,5,3,9,1,8,0,5,6,54,50,0,3,1,12,3,0,6,3,11,14,3,0,0,1,3,1,1,6,1,4,4,0,2,0,0,5,9,2,2,0,6,0,5,0,0,3,0,4,36,0,2,0,0,2,2,0,0,3,0,0,3,0,9,0,0,1,2,0,0,1,5,0,13,2,3,1,4,3,3,0,3,3,21,1,0,0,5,4,3,0,11,3,3,16,0,4,12,0,0,8,2,2,0,27,3,4,19,0,0,2,0,0,0,3,0,2,0,0,2,0,1,4,4,2,2,0,0,0,3,0,0,1,3,2,2,5,10,6,5,8,0,2,4,0,2,6,1,1,0,1,3,0,1,1,0,17,0,3,3,5,2,1,0,1,6,1,0,1,4,21,1,0,0,1,0,1,6,0,3,4,0,1,2,2,3,1,1,0,3,0,2,1,5,0,2,0,0,3,3,6,1,165,1,0,3,3,0,2,0,9,1,5,1,6,0,4,0,0,0,0,0,1,37,0,0,0,2,49,0,7,3,2,0,1,0,1,0,1,1,6,0,0,0,1,0,4,7
000425,0,2,1,0,1,63,1,2,30,9,1,0,0,1,5,2,4,5,0,1,4,0,1,2,0,0,1,6,0,0,1,1,0,2,0,0,1,4,2,0,0,0,8,2,0,1,6,0,0,6,1,5,0,2,0,3,5,14,0,8,0,0,0,7,6,0,25,0,0,2,0,12,4,0,0,0,3,2,0,0,2,1,6,2,0,10,0,0,5,4,4,0,0,0,9,8,0,0,4,0,0,40,0,0,1,0,2,0,0,0,1,0,1,3,0,2,0,1,3,0,4,0,1,10,0,4,112,2,3,6,2,1,0,2,4,4,0,0,11,1,1,2,3,0,0,8,2,0,1,5,0,5,1,0,1,0,1,1,17,2,1,0,2,0,1,0,1,1,10,0,0,3,0,0,1,0,0,1,0,3,2,0,0,2,3,2,3,2,7,3,1,1,1,1,1,4,1,0,1,4,47,1,0,5,0,2,1,1,4,1,1,0,4,3,3,1,1,1,2,0,3,4,5,4,0,0,1,2,4,3,5,4,1,5,1,0,6,4,0,0,0,1,3,0,1,9,1,2,4,1,18,1,3,1,26,0,0,12,3,2,2,2,1,1,0,1,11,1,0,0,0,0,0,1,0,1,0,0,0,1,6,1,1,3,9,4,3,0,5,0,1,2,2,1,0,0,2,0,1,3
000538,0,0,0,0,0,0,2,0,2,1,1,0,0,3,1,0,0,2,2,0,0,0,0,4,1,1,1,2,0,0,0,1,7,0,0,27,0,0,1,1,3,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,1,2,1,0,9,0,0,0,0,1,3,1,0,0,0,0,1,0,1,6,5,2,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2,6,0,0,6,0,1,2,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,2,0,2,0,1,0,0,0,0,25,1,0,0,1,0,2,1,2,2,4,2,0,13,0,18,0,0,0,0,2,30,0,0,0,0,7,2,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,2,0,4,0,2,0,1,2,3,0,1,0,0,0,0,0,2,2,3,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,12,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,2,1,0,0,3,1,0,1,0,0,0,2,1,0,0,0,8,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,2,0,2,0,1,0,4,3,0,0,1,0,1,1
000568,2,3,13,0,2,0,4,0,20,1,5,1,3,0,185,0,1,13,3,0,0,0,0,14,1,1,0,395,5,0,6,1,2,1,0,1,0,1,1,0,8,1,5,5,0,3,2,0,0,0,1,3,0,1,160,12,8,8,0,3,4,5,7,18,0,1,32,0,0,1,3,22,7,3,0,0,7,3,1,4,6,6,29,17,1,4,0,0,8,31,0,1,0,2,2,1,0,0,11,0,2,35,0,1,15,0,1,7,0,0,3,6,3,0,2,3,1,1,1,0,2,0,1,1,0,8,0,11,3,1,3,0,3,1,8,2,1,0,2,0,5,2,1,0,0,12,5,0,2,4,0,1,0,11,6,1,2,0,249,4,1,1,1,2,68,0,4,4,9,0,0,3,0,2,0,0,269,0,0,3,4,79,1,6,2,3,2,2,5,10,4,1,4,1,1,7,0,8,5,10,2,2,0,11,0,2,1,0,12,8,0,3,0,6,10,6,5,15,2,4,2,7,2,8,0,0,1,9,3,4,1,4,10,1,0,5,4,1,2,3,4,0,3,3,10,5,1,2,0,2,6,7,7,4,16,3,3,4,9,0,7,2,8,0,2,0,11,1,62,0,146,0,0,4,1,3,0,0,0,12,11,0,85,6,7,0,15,0,6,0,1,2,27,3,0,0,0,0,3,17
000596,1,2,2,0,1,0,2,0,11,0,0,5,1,185,0,1,2,8,2,0,0,0,0,9,0,0,0,206,2,0,8,0,1,1,0,1,0,1,0,0,0,0,2,3,0,0,0,0,0,5,0,1,0,0,96,5,3,7,0,0,0,3,2,7,1,1,21,0,0,1,0,6,1,1,0,0,4,3,1,0,3,1,7,5,0,0,0,0,4,13,0,0,0,0,1,0,0,0,3,0,0,17,0,0,9,0,0,8,0,0,3,0,4,3,0,1,0,0,1,0,1,0,1,2,0,1,2,2,0,5,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,3,3,0,0,0,0,0,0,5,0,1,1,0,141,2,0,0,4,1,55,0,2,1,4,0,0,1,0,1,0,0,174,0,0,0,1,45,1,1,0,1,2,2,3,6,4,0,0,0,1,2,1,1,2,4,1,1,0,1,0,0,2,0,2,1,0,1,0,6,4,1,1,3,3,1,1,6,0,1,0,0,0,2,3,1,1,3,6,2,1,2,0,1,1,3,2,0,0,3,1,4,0,3,0,0,11,1,8,3,4,3,0,1,6,0,7,0,4,0,1,0,4,1,36,0,115,0,0,2,0,2,0,0,0,7,2,0,58,1,4,0,7,0,8,0,0,0,9,3,0,0,0,0,1,4
000617,0,1,2,0,1,0,7,0,1,0,0,2,0,0,1,0,1,0,1,0,2,0,0,6,0,1,0,0,0,0,0,0,0,2,0,1,1,2,2,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,3,1,2,1,0,1,3,0,0,0,0,1,6,0,0,0,0,1,4,0,0,1,4,8,0,0,0,0,4,8,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,4,7,0,1,3,0,2,0,3,0,6,0,0,1,5,0,0,0,11,0,0,1,0,4,0,1,0,0,2,0,0,0,1,0,1,0,0,2,0,1,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,4,1,0,2,3,4,0,2,1,0,0,0,5,6,1,1,0,0,9,0,1,0,0,9,0,0,6,0,5,1,2,0,7,0,2,0,7,1,3,0,0,0,2,0,2,1,1,0,1,1,2,1,1,3,0,2,1,2,0,1,18,0,1,2,0,4,0,3,1,4,5,2,2,3,4,2,0,7,3,3,0,2,0,0,0,0,0,0,1,1,1,0,0,0,3,2,0,0,2,0,0,4,0,0,0,0,0,9,0,1,0,0,0,1,6
000625,1,7,12,0,0,2,5,0,24,20,3,4,0,1,2,1,0,13,4,1,2,0,1,7,0,1,24,6,3,0,0,1,0,3,0,2,0,3,1,0,4,2,26,42,1,3,4,0,0,11,2,1,0,3,0,1,2,2,0,17,5,19,8,16,2,1,572,6,0,1,5,5,2,8,0,0,5,41,1,0,39,3,16,12,5,13,0,0,8,12,2,2,1,0,7,11,0,0,8,1,1,181,0,1,4,0,1,1,0,0,2,1,0,2,0,1,1,1,2,1,10,1,0,4,2,27,8,11,7,1,18,0,2,3,227,1,0,0,11,2,0,0,5,0,0,8,7,1,2,2,1,11,1,2,5,3,0,1,11,2,2,1,5,0,0,0,19,1,10,0,11,4,0,1,2,1,1,7,1,6,0,1,1,8,0,1,2,3,1,25,7,0,4,0,0,2,0,8,9,6,0,3,2,8,0,6,0,0,24,1,1,1,242,7,7,0,3,2,0,8,0,10,8,2,1,0,1,2,230,6,8,5,5,27,1,0,15,21,2,11,0,2,2,0,1,7,0,4,2,0,4,2,4,3,10,1,4,1,3,3,2,3,17,4,11,0,14,0,3,0,0,0,0,4,4,12,0,1,0,4,3,0,2,2,2,4,14,0,1,3,1,5,13,1,4,0,2,0,5,10
000651,2,3,22,0,22,2,6,6,218,5,2,5,2,13,8,0,13,0,3,1,7,0,3,9,0,4,0,37,8,0,0,3,0,3,1,2,4,1,1,0,2,0,36,2,2,3,0,4,0,6,5,15,11,2,2,3,23,11,0,16,6,1,1,44,4,4,87,1,0,4,1,22,6,1,0,0,2,2,2,0,16,2,8,11,4,9,0,0,14,19,0,2,0,0,9,5,0,0,8,0,1,55,0,0,23,0,1,4,0,0,4,0,0,1,3,1,0,4,2,0,3,0,0,15,0,8,8,20,2,0,4,0,2,3,10,4,1,0,4,4,5,0,4,1,1,12,8,0,0,4,0,3,1,2,2,1,1,0,27,0,2,4,2,1,7,0,14,0,127,0,0,26,0,0,5,1,9,1,1,0,0,20,0,12,2,4,9,3,10,12,3,0,3,1,5,5,0,9,8,8,2,4,1,15,0,6,0,0,6,10,1,0,3,8,16,1,5,3,0,2,2,14,4,2,1,0,0,10,6,6,11,4,7,4,0,0,1,4,6,1,0,0,2,5,4,12,1,0,1,5,4,3,6,5,27,1,2,9,7,2,8,0,7,6,1,6,21,0,11,0,2,2,0,2,1,3,0,0,0,7,8,14,9,3,1,4,14,0,4,1,2,4,25,0,0,0,0,0,6,19
000661,0,3,4,0,3,0,1,0,2,0,1,0,2,3,2,1,4,3,0,0,0,0,1,5,0,0,0,3,2,0,0,3,17,4,1,10,0,0,22,10,0,0,5,4,5,1,0,2,0,3,0,8,4,0,2,3,2,3,0,5,1,2,2,9,1,1,17,1,0,2,4,5,3,2,0,0,3,2,7,2,7,15,7,6,22,3,0,0,5,16,2,11,1,2,7,2,0,0,3,0,1,21,0,15,31,0,0,9,0,0,0,0,2,1,0,0,2,0,2,0,1,0,2,4,0,3,2,3,0,1,0,0,1,0,2,1,0,0,1,1,2,1,31,1,2,71,2,4,0,3,0,0,0,19,1,1,2,0,10,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,0,1,0,1,2,7,1,0,1,2,0,4,0,2,5,2,0,1,0,15,0,0,0,0,5,0,0,0,0,2,5,1,1,2,1,2,1,1,0,1,1,0,2,1,2,3,1,2,1,4,4,0,1,1,2,1,0,0,1,0,0,1,1,0,0,0,2,2,0,1,11,2,0,0,1,0,0,1,2,0,3,1,34,0,3,0,0,13,0,1,2,3,0,0,0,1,3,3,6,1,3,0,1,0,5,0,0,3,16,18,0,0,0,0,2,2
